"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"NY_GDP_MKTP_CN","GDP (current LCU)","AUS","Australia","2016","2016",1657744000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUS","Australia","2017","2017",1759314000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUS","Australia","2018","2018",1842946000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUS","Australia","2019","2019",1946228000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUS","Australia","2020","2020",1980866000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUS","Australia","2021","2021",2067010000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUT","Austria","2016","2016",357607950000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUT","Austria","2017","2017",369361870000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUT","Austria","2018","2018",385423950000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUT","Austria","2019","2019",397518540000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUT","Austria","2020","2020",379320560000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","AUT","Austria","2021","2021",403370430000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","BEL","Belgium","2016","2016",430085300000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","BEL","Belgium","2017","2017",445050100000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","BEL","Belgium","2018","2018",460091700000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","BEL","Belgium","2019","2019",478238900000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","BEL","Belgium","2020","2020",456731500000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","BEL","Belgium","2021","2021",507194200000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CAN","Canada","2016","2016",2025533000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CAN","Canada","2017","2017",2140641000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CAN","Canada","2018","2018",2235672000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CAN","Canada","2019","2019",2311294000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CAN","Canada","2020","2020",2206764000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CAN","Canada","2021","2021",2496170000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CZE","Czechia","2016","2016",4796873000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CZE","Czechia","2017","2017",5110743000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CZE","Czechia","2018","2018",5409665000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CZE","Czechia","2019","2019",5790348000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CZE","Czechia","2020","2020",5694387000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","CZE","Czechia","2021","2021",6120632000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","DNK","Denmark","2016","2016",2107808218000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","DNK","Denmark","2017","2017",2192960002000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","DNK","Denmark","2018","2018",2253316249000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","DNK","Denmark","2019","2019",2318041864000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","DNK","Denmark","2020","2020",2329561402000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","DNK","Denmark","2021","2021",2496639913000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","FIN","Finland","2016","2016",217518000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","FIN","Finland","2017","2017",226301000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","FIN","Finland","2018","2018",233468000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","FIN","Finland","2019","2019",239852000000,,
"NY_GDP_MKTP_CN","GDP (current LCU)","FIN","Finland","2020","2020",237995000000,,
