"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.0629427301057","44.575863782783","44.3406800936595","52.4018526245117","54.6376108828042","57.7662654377137","67.8553633885792","74.3259473983263","76.8326789801158","83.6818633529351","83.6454220607432","85.8620249716641","85.5966374709425","88.0583266931938","93.2044014898923","99.4591435217479","98.18313282649","94.4245060516725","96.4565796968891","99.9686812695383","","",
"Afghanistan","AFG","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7244693","6.00329775","4.95241076","5.35695491","5.33113061","6.05911061","8.02740365","8.02429325","7.8653652","8.02203292","6.59611915","8.7634798","9.8358992","10.94380195","11.88927869","13.23826568","11.4421628","23.38493763","","",
"Africa Western and Central","AFW","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2654678564929","20.1559389064114","16.7684691612563","23.5910403597505","29.5241628281134","31.4860064779286","28.8269301939981","27.7406568269732","27.299787409833","28.756625933531","26.2252803366356","28.7130059046857","30.2970852523069","30.3188728145597","29.1727348509301","32.3331752947849","29.8345493001978","30.7249560325323","31.0180996314584","32.67311416191","","",
"Angola","AGO","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.49499352","69.25862883","49.53349982","56.26124531","71.26813216","61.86261864","77.43399361","104.19076141","141.29269178","168.26714404","110.28919692","114.96976639","115.88952935","130.23081672","107.81622064","90.56326914","85.06374217","94.44721261","79.31635599","73.38913751","","",
"Albania","ALB","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.45683015","115.79791813","117.76588832","130.02815698","149.13845619","152.51464184","163.97295711","173.45013444","183.44113787","203.04805242","226.49686904","239.54058277","257.22624455","271.67704769","291.29813267","317.36424827","337.44137858","341.45184446","392.525445","","","",
"Andorra","AND","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1267.42181264","1324.44111595","1485.30280682","1387.08285334","1355.44220546","1582.38751849","1410.48625891","1452.97516771","1755.52958697","1884.3153757","1957.13126002","1757.94025126","1801.95095982","1843.04873637","1970.13881636","2135.96747362","2118.0615794","2314.09952517","2450.40810874","2582.32343167","","",
"Arab World","ARB","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240.238452822962","269.287276814638","265.753669369859","255.672744073216","262.60276649215","258.719798443828","282.079922134016","303.213927210926","301.669901940565","391.975699819797","355.016001146222","376.038139543024","387.4007989858","433.018757233665","473.628564319551","454.848892679648","454.404458152716","499.077906460297","481.940230130309","486.274667354279","","",
"United Arab Emirates","ARE","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600.55193845","1850.51962162","1589.97227644","1609.19871142","1432.32039085","1288.09642167","1274.97067861","1311.21918668","1492.24486332","2034.18950395","1783.11043578","1799.03693605","1717.05890273","1819.83576763","1896.86214477","1657.1693765","1599.20043161","1494.92040857","1466.77632032","1567.03304405","","",
"Argentina","ARG","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","584.44076753","576.41916746","453.3407089","464.98979879","457.36654978","530.99987035","600.90807963","705.0399702","784.67053302","926.15151566","1003.11166466","1096.16143334","1204.33581495","1252.48035112","1246.38711281","1373.85511547","1137.58851597","1561.07420607","1388.02205084","1371.23960714","","",
